LiteratureID,ReferenceCount,AuthorCount,FundingAgencyCount
85082380872,32,18,6
85082420038,80,4,0
85082456398,12,5,2
85082484990,16,6,1
85082519384,9,2,0
85082600368,8,4,3
85082717874,46,6,2
85082769527,57,6,1
85082817501,14,5,2
85082821798,40,3,3
85082850250,42,2307,100
85082968349,34,4,0
85082985901,50,7,0
85083002300,46,2,0
85083071958,24,5,0
85083201464,36,7,1
85083260081,16,2,0
85083296795,12,4,1
85083365374,17,2,2
85083443556,12,2,0
85083482804,9,7,0
85083516048,13,4,0
85083523582,64,3,4
85083567787,96,3,0
85083581099,50,7,6
85083637181,47,1,3
85083706044,40,7,10
85083777123,36,7,3
85083945056,7,3,1
85083985466,32,3,0
85084041051,0,1,0
85084139718,28,5,0
85084142278,29,4,1
85084214989,31,5,2
85084237653,63,6,1
85084313658,0,7,0
85084347476,42,5,2
85084378872,52,6,1
85084379899,39,8,2
85084385394,21,2,2
85084470210,68,4,0
85084476233,121,7,0
85084503297,6,7,4
85084541890,13,2,0
85084572571,32,6,6
85084665697,35,7,2
85084671920,7,14,2
85084855513,38,3,3
85084968659,17,2,1
85085009943,57,3,6
85085028810,130,2,0
85085032372,2,3,0
85085086881,41,6,1
85085099908,81,5,3
85085123452,35,9,0
85085288667,11,2,0
85085338599,8,2,3
85085376967,60,3,2
85085472212,36,4,1
85085547028,19,5,1
85085563803,205,2,0
85085572163,14,2,0
85085663952,21,3,2
85085687411,74,9,9
85085722951,45,1,0
85085760271,27,3,0
85085858330,10,5,0
85085876987,50,4,0
85085909187,40,7,0
85085965254,73,8,4
85085994436,31,9,3
85086002186,94,2,1
85086016803,38,2,4
85086051188,53,3,0
85086070407,11,2,0
85086078936,10,2,0
85086227209,23,8,9
85086304211,30,3,2
85086586942,34,2,2
85086655634,10,3,3
85086693768,61,4,6
85086707298,17,3,4
85086775338,40,6,3
85086781984,37,5,3
85086805847,12,5,0
85086886470,27,12,0
85086889167,47,3,2
85086939613,26,2,1
85086997329,9,3,0
85087022518,10,4,2
85087052540,43,4,0
85087140696,74,18,0
85087158889,52,7,3
85087225912,20,2,0
85087392634,21,3,2
85087423341,19,6,2
85087423982,198,7,4
85087433656,45,7,3
85087436910,4,4,0
85087468816,58,5,0
85087656410,73,1,0
85087683837,54,8,6
85087721141,2,5,0
85087739710,66,4,0
85087807101,34,3,1
85087843072,37,3,1
85087905890,35,6,2
85087907671,37,3,3
85087986407,60,3,6
85088028328,27,13,0
85088098750,40,6,5
85088146256,14,3,0
85088311090,16,2,1
85088487300,44,6,5
85088512020,36,15,0
85088517758,77,3,4
85088586503,40,6,1
85088645207,55,5,3
85088646665,126,2314,1
85088716103,20,4,0
85088745028,13,8,0
85088809122,20,3,0
85088872690,10,3,2
85088879976,51,7,3
85088968607,0,14,0
85089034384,110,6,0
85089034532,50,4,3
85089171436,33,8,4
85089190082,34,4,2
85089231701,11,2,0
85089274620,42,4,3
85089299766,81,8,1
85089310509,22,3,1
85089332826,65,7,0
85089430366,52,7,5
85089445740,31,3,2
85089506613,55,2,3
85089600779,37,2,0
85089601116,68,3,1
85089663974,75,1,0
85089670035,43,3,3
85089776333,89,2289,105
85089836861,26,2,0
85089859429,31,10,4
85089955954,58,3,9
85089963485,34,9,4
85089978022,31,2,3
85089988820,62,5,5
85090002106,252,4,1
85090064804,32,7,3
85090123363,19,3,0
85090192658,3,24,0
85090209846,21,5,0
85090241869,20,2,0
85090247564,22,7,2
85090258666,108,3,5
85090273111,15,4,9
85090281994,68,8,7
85090282371,60,4,5
85090288353,39,5,2
85090384415,78,4,5
85090408695,25,3,3
85090418357,24,3,1
85090421898,53,6,2
85090425170,33,7,1
85090485310,17,3,0
85090530873,36,3,1
85090551728,29,4,3
85090559669,45,5,0
85090634635,57,10,3
85090668789,33,8,3
85090756339,47,3,4
85090786590,24,6,0
85090789309,64,6,6
85090814855,27,6,0
85090830351,29,8,4
85090907363,10,5,2
85090991496,65,12,8
85091052772,53,9,0
85091211346,35,4,2
85091236535,22,9,1
85091267537,14,1,4
85091312417,16,4,0
85091436264,40,5,5
85091461674,142,3,0
85091477575,89,4,1
85091477973,20,6,2
85091491334,157,5,2
85091691719,32,7,0
85091715580,65,8,0
85091787122,25,13,1
85091802240,43,1,2
85091844509,9,2,0
85091855716,48,5,4
85091934322,19,3,0
85091945109,37,11,2
85092039518,7,2,2
85092039739,50,10,2
85092073308,33,1,1
85092075687,36,43,10
85092117796,28,5,1
85092132807,58,5,4
85092234898,30,3,4
85092300522,33,3,4
85092331982,52,3,0
85092397200,32,4,2
85092450077,159,3,1
85092524906,65,7,2
85092571976,84,5,1
85092615486,25,6,0
85092709391,46,7,6
85092714986,19,2,1
85092750488,84,11,2
85092765294,33,4,5
85092904360,42,6,3
85092921675,19,1,0
85093122730,50,5,4
85093538281,63,3,7
85093967239,80,36,16
85094101696,46,10,3
85094202021,49,4,1
85094571065,64,8,5
85094574793,58,6,2
85094605505,38,3,2
85094613812,66,4,0
85094829498,3,4,0
85094931109,38,9,0
85094956975,0,35,0
85095112379,73,6,5
85095700852,46,2,5
85095798434,28,12,1
85095842404,6,2,0
85095848278,78,6,4
85095865378,17,4,3
85095997383,52,6,0
85096087254,20,1,0
85096115561,82,1,2
85096138332,21,1,0
85096191714,26,6,0
85096232908,28,6,6
85096308834,112,10,12
85096339594,50,4,0
85096430770,30,5,3
85096432465,138,4,5
85096451944,11,3,0
85096502238,25,7,6
85096559454,37,3,2
85096583676,37,3,0
85096643146,61,6,7
85096649035,28,8,2
85096649930,38,7,4
85096670844,42,2299,2
85096713258,139,2,0
85096797142,23,4,1
85096814832,29,12,5
85096828330,55,4,1
85096839555,60,4,5
85096865759,51,7,4
85096866585,61,11,9
85097030068,56,6,2
85097123996,37,5,3
85097209563,10,5,0
85097278478,20,4,1
85097315678,46,6,2
85097319186,28,9,3
85097376594,43,5,3
85097388941,30,12,3
85097434794,51,2,2
85097476622,56,6,1
85097507601,36,7,3
85097573029,22,6,2
85097598013,25,10,3
85097609625,30,6,0
85097665321,24,5,0
85097754956,71,3,2
85097759056,38,16,4
85097776096,45,2295,2
85097893473,54,7,0
85098074752,35,29,3
85098075483,32,3,0
85098115630,4,4,1
85098240896,92,52,1
85098255482,1,10,1
85098332405,45,6,5
85098461867,133,6,0
85098470386,54,5,2
85098511360,0,1,0
85098547497,67,5,0
85098769600,52,2,2
85098798932,44,4,2
85098875840,50,5,1
85098995639,34,6,2
85099055227,25,5,2
85099118774,21,2,0
85099152835,36,6,12
85099201917,36,449,48
85099214806,14,4,1
85099351842,40,3,2
85099357634,12,1,2
85099392473,101,1,0
85099403676,44,9,2
85099412413,52,10,1
85099427294,68,36,7
85099510728,26,5,2
85099568611,25,7,1
85099729412,48,8,2
85099738556,45,2,4
85099835244,39,5,0
85099899114,4,4,0
85099906258,43,2,3
85099969383,50,4,2
85100016526,38,7,6
85100027520,25,3,1
85100056338,55,9,5
85100125815,42,5,5
85100257821,37,7,8
85100293960,37,5,5
85100382982,75,3,5
85100384379,26,2,4
85100421844,23,11,0
85100501287,66,7,4
85100527344,115,4,0
85100539026,59,10,5
85100541656,68,8,7
85100665829,60,2,0
85100766403,31,3,2
85100826405,14,6,6
85101054469,40,14,1
85101101437,74,6,1
85101109890,21,4,4
85101186582,35,2,1
85101229384,21,8,2
85101357105,23,3,1
85101459601,13,14,6
85101466540,44,4,2
85101471600,66,4,0
85101594646,46,4,4
85101597870,53,8,4
85101614504,36,8,4
85101743624,39,3,3
85101792314,69,1,0
85101807944,50,4,3
85101899050,426,8,1
85101922363,60,3,0
85101944570,54,2,1
85101985511,49,10,7
85102007457,41,3,2
85102183224,27,6,1
85102216889,26,9,3
85102270310,27,3,1
85102313796,17,80,1
85102344838,77,5,6
85102422736,62,3,6
85102547261,21,7,0
85102582101,122,2,0
85102622106,57,4,1
85102623563,57,8,4
85102682432,139,2,0
85102739222,14,4,0
85102773981,7,3,2
85102802570,26,7,3
85102806396,36,7,2
85102860113,40,6,0
85103068155,15,2,2
85103137055,47,13,3
85103140622,7,2,0
85103211042,38,6,3
85103227507,17,14,5
85103265408,7,2,0
85103321873,42,11,4
85103343003,19,9,0
85103344380,78,2,0
85103347890,42,5,3
85103377648,101,4,2
85103403728,66,4,0
85103407779,67,3,1
85103477702,14,1,2
85103612612,0,101,0
85103612860,45,6,0
85103636568,25,3,4
85103766528,23,1,1
85103863148,38,13,0
85103936690,57,6,1
85103990516,63,3,2
85104254376,40,14,0
85104382409,28,5,0
85104427948,38,3,0
85104497297,45,5,2
85104497548,104,4,4
85104530796,102,4,4
85104596135,0,2345,0
85104610241,80,5,3
85104646011,50,4,5
85104760004,22,3,1
85104793091,38,2329,0
85104929970,10,3,9
85104944270,41,5,3
85104984885,82,6,3
85105124678,23,2,1
85105154087,77,5,3
85105176929,62,6,0
85105196506,35,6,0
